Cross Semivariogram     tail:Ag           head:Ag            direction  1 
  29       29.000      -.06005   102510         .06397         .00167
  30       30.000      -.06378   102175         .06673        -.00043
  31       31.000      -.06715   101840         .06965        -.00270
  32       32.000      -.07046   101505         .07274        -.00512
  33       33.000      -.07357   101170         .07587        -.00759
  34       34.000      -.07599   100835         .07906        -.00992
  35       35.000      -.07847   100500         .08233        -.01212
  36       36.000      -.08075   100165         .08556        -.01424
  37       37.000      -.08285    99830         .08882        -.01633
  38       38.000      -.08442    99495         .09227        -.01848
  39       39.000      -.08569    99160         .09578        -.02074
  40       40.000      -.08666    98825         .09914        -.02315
  41       41.000      -.08749    98490         .10238        -.02566
  42       42.000      -.08844    98155         .10558        -.02834
  43       43.000      -.08903    97820         .10861        -.03106
  44       44.000      -.08935    97485         .11142        -.03378
  45       45.000      -.08964    97150         .11412        -.03654
  46       46.000      -.09006    96815         .11671        -.03933
  47       47.000      -.09037    96480         .11909        -.04220
  48       48.000      -.09086    96145         .12119        -.04498
  49       49.000      -.09156    95810         .12294        -.04759
  50       50.000      -.09249    95475         .12439        -.05010
  51       51.000      -.09366    95140         .12565        -.05264
  52       52.000      -.09456    94805         .12668        -.05502
  53       53.000      -.09520    94470         .12735        -.05738
  54       54.000      -.09593    94135         .12782        -.05977
  55       55.000      -.09641    93800         .12818        -.06196
  56       56.000      -.09620    93465         .12840        -.06408
  57       57.000      -.09564    93130         .12846        -.06623
  58       58.000      -.09468    92795         .12840        -.06831
  59       59.000      -.09364    92460         .12821        -.07048
  60       60.000      -.09229    92125         .12790        -.07263
  61       61.000      -.09086    91790         .12752        -.07483
  62       62.000      -.08938    91455         .12706        -.07710
  63       63.000      -.08805    91120         .12651        -.07952
  64       64.000      -.08661    90785         .12574        -.08201
  65       65.000      -.08494    90450         .12485        -.08450
  66       66.000      -.08326    90115         .12378        -.08704
  67       67.000      -.08185    89780         .12262        -.08959
  68       68.000      -.08083    89445         .12152        -.09206
  69       69.000      -.08002    89110         .12037        -.09443
  70       70.000      -.07930    88775         .11923        -.09663
  71       71.000      -.07861    88440         .11809        -.09865
  72       72.000      -.07789    88105         .11681        -.10058
  73       73.000      -.07718    87770         .11538        -.10246
  74       74.000      -.07626    87435         .11380        -.10438
  75       75.000      -.07506    87100         .11216        -.10621
  76       76.000      -.07402    86765         .11054        -.10797
  77       77.000      -.07295    86430         .10891        -.10965
  78       78.000      -.07193    86095         .10734        -.11126
  79       79.000      -.07062    85760         .10590        -.11285
  80       80.000      -.06936    85425         .10464        -.11425
  81       81.000      -.06813    85090         .10338        -.11554
  82       82.000      -.06676    84755         .10211        -.11656
  83       83.000      -.06536    84420         .10098        -.11749
  84       84.000      -.06392    84085         .10003        -.11822
  85       85.000      -.06272    83750         .09919        -.11888
  86       86.000      -.06162    83415         .09857        -.11942
  87       87.000      -.06056    83080         .09807        -.11972
  88       88.000      -.05925    82745         .09762        -.11996
  89       89.000      -.05849    82410         .09752        -.12011
  90       90.000      -.05773    82075         .09769        -.12013
  91       91.000      -.05695    81740         .09807        -.11998
  92       92.000      -.05637    81405         .09860        -.11959
  93       93.000      -.05532    81070         .09921        -.11889
  94       94.000      -.05414    80735         .09989        -.11794
  95       95.000      -.05264    80400         .10062        -.11693
  96       96.000      -.05135    80065         .10117        -.11583
  97       97.000      -.05066    79730         .10164        -.11456
  98       98.000      -.05020    79395         .10224        -.11317
  99       99.000      -.04963    79060         .10274        -.11173
 100      100.000      -.04902    78725         .10318        -.11031
Cross Semivariogram     tail:Ag           head:Ba            direction  1 
   1        1.000      -.00015   111890         .00654        -.03146
   2        2.000      -.00048   111555         .00727        -.03174
   3        3.000      -.00102   111220         .00804        -.03198
   4        4.000      -.00152   110885         .00904        -.03218
   5        5.000      -.00195   110550         .01012        -.03238
   6        6.000      -.00228   110215         .01124        -.03251
   7        7.000      -.00263   109880         .01247        -.03257
   8        8.000      -.00292   109545         .01378        -.03262
   9        9.000      -.00360   109210         .01529        -.03260
  10       10.000      -.00477   108875         .01697        -.03252
  11       11.000      -.00609   108540         .01882        -.03242
  12       12.000      -.00731   108205         .02078        -.03231
  13       13.000      -.00858   107870         .02290        -.03215
  14       14.000      -.01021   107535         .02523        -.03197
  15       15.000      -.01200   107200         .02778        -.03179
  16       16.000      -.01401   106865         .03050        -.03167
  17       17.000      -.01597   106530         .03311        -.03153
  18       18.000      -.01836   106195         .03571        -.03137
  19       19.000      -.02076   105860         .03828        -.03122
  20       20.000      -.02350   105525         .04084        -.03101
  21       21.000      -.02628   105190         .04350        -.03072
  22       22.000      -.02935   104855         .04611        -.03028
  23       23.000      -.03249   104520         .04860        -.02996
  24       24.000      -.03583   104185         .05112        -.02967
  25       25.000      -.03934   103850         .05360        -.02938
  26       26.000      -.04302   103515         .05609        -.02912
  27       27.000      -.04706   103180         .05866        -.02881
  28       28.000      -.05139   102845         .06130        -.02848
  29       29.000      -.05597   102510         .06397        -.02807
  30       30.000      -.06052   102175         .06673        -.02771
  31       31.000      -.06496   101840         .06965        -.02732
  32       32.000      -.06911   101505         .07274        -.02686
  33       33.000      -.07308   101170         .07587        -.02636
  34       34.000      -.07690   100835         .07906        -.02587
  35       35.000      -.08082   100500         .08233        -.02543
  36       36.000      -.08458   100165         .08556        -.02504
  37       37.000      -.08830    99830         .08882        -.02472
  38       38.000      -.09213    99495         .09227        -.02451
  39       39.000      -.09617    99160         .09578        -.02443
  40       40.000      -.09989    98825         .09914        -.02435
  41       41.000      -.10372    98490         .10238        -.02425
  42       42.000      -.10773    98155         .10558        -.02408
  43       43.000      -.11170    97820         .10861        -.02398
  44       44.000      -.11580    97485         .11142        -.02398
  45       45.000      -.11969    97150         .11412        -.02407
  46       46.000      -.12354    96815         .11671        -.02419
  47       47.000      -.12745    96480         .11909        -.02437
  48       48.000      -.13114    96145         .12119        -.02454
  49       49.000      -.13443    95810         .12294        -.02478
  50       50.000      -.13732    95475         .12439        -.02510
  51       51.000      -.13977    95140         .12565        -.02544
  52       52.000      -.14216    94805         .12668        -.02582
  53       53.000      -.14426    94470         .12735        -.02617
  54       54.000      -.14588    94135         .12782        -.02648
  55       55.000      -.14751    93800         .12818        -.02651
  56       56.000      -.14910    93465         .12840        -.02642
  57       57.000      -.15064    93130         .12846        -.02626
  58       58.000      -.15197    92795         .12840        -.02602
  59       59.000      -.15303    92460         .12821        -.02567
  60       60.000      -.15356    92125         .12790        -.02531
  61       61.000      -.15402    91790         .12752        -.02504
  62       62.000      -.15409    91455         .12706        -.02479
